prikey,Key,User,Upload Time,Survey Name,Version,Complete,Survey Notes,Location Trigger,Instance Name,_start,_end,_device,site,plot,quadrat,host,phenologyhost__1,phenologyhost__2,phenologyhost__3,light,gbh1,gbh2,gbh3,gbh4,gbh5,infest
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,35,37,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Ziziphus oenoplia,1,0,1,8,11,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,56,28,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Peltophorum pterocarpum,1,0,0,32,15,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,5.59999999999999964,21,25,28,,,1
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,0,6,21,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,0,5.70000000000000018,18,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,12.5,18,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,0.699999999999999956,15,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,0.299999999999999989,83,106,,,,1
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,11,20,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,11,20,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,1,26,27,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,25,25,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,31.3999999999999986,37,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,25,32,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,26,44,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Mangifera indica,1,0,0,43,30,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Azadirachta indica,1,0,0,40,7,8,7,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,26.6000000000000014,54,,,,,1
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,5.29999999999999982,15,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,22.1000000000000014,15,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,0.599999999999999978,21,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,6.40000000000000036,13,14,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,10.9000000000000004,52,34,,,,1
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,9.80000000000000071,47,21,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Benkara malabarica,1,0,1,16.1000000000000014,25,17,17,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,19.3000000000000007,32,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,24.6000000000000014,47,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,26,43,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,24,52,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,25,48,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,24,31,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,27,40,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Azadirachta indica,1,0,0,28,61,50,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,25,56,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,23,54,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,25,39,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,20.3999999999999986,33,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,18.5,37,,,,,2
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,34.5,36,24,,,,2
