prikey,Key,User,Upload Time (GMT),Survey Name,Version,Complete,Survey Notes,Location Trigger,Instance Name,_start (GMT),_end (GMT),_device,site,plot,quadrat,host,phenologyhost1,phenologyhost2,phenologyhost3,light,gbh1,gbh2,gbh3,gbh4,gbh5,infest,biomass,phenologypar1,phenologypar2,phenologypar3,clump,poll,disp,foli
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Terminalia arjuna,1,0,0,16.5,23,15,32,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Dodonaea angustifolia,1,1,0,20.6,8,6,9,6,8,1,2,1,1,1,1,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,0,16.5,8,4,4,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,20,7,9,15,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Hardwickia binata,1,0,0,8.5,44,,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Tectona grandis,1,0,0,20,10,7,6,14,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Morinda coreia,1,0,0,50,6,8,9,5,4,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Cochlospermum religiosa,0,0,0,0,35,,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,2,1,1,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,1,1,1,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,1,1,1,1,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,1,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,1,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,2,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,3,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,3,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,2,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,3,0,0,0,1,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,3,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,3,0,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,2,1,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,2,1,1,0,1,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,1,1,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,23.9,49,,,,,1,1,1,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Hardwickia binata,1,0,0,6,36,,,,,1,4,1,0,0,1,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Hardwickia binata,1,0,0,6,36,,,,,1,4,1,0,0,2,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Hardwickia binata,1,0,0,6,36,,,,,1,4,1,0,0,1,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Dodonaea angustifolia,1,0,0,11,9,9,8,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Ficus benghalensis,1,0,0,5,6,6,4,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Syzgium cumini,1,0,0,26,27,18,9,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,0,5.4,9,2,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,0,9.6,9,,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Dolichandrone falcata,1,0,1,18,37,25,12,17,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Dodonaea angustifolia,1,0,0,3,10,,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Bridelia retusa,1,0,0,50,13,12,14,24,19,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Manilkara hexandra,1,0,0,4,12,,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Manilkara hexandra,1,0,0,3,6,4,5,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Manilkara hexandra,1,0,0,2,3,4,5,5,3,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Gmelina arborea,1,0,0,14.2,8,7,7,8,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,0,19.4,20,,,,,1,3,1,0,0,1,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,1,12,17,,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Acacia auriculiformis,1,0,0,12,13,,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Morinda coreia,1,0,0,7,9,,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Albizia lebbeck,1,0,0,2,10,,,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Dodonaea angustifolia,1,1,1,12.6,6,5,6,,,2,,,,,,,,
9,,preethi1433@gmail.com,2018-01-29T11:30:19Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,[basic] this is plot 1 in aranya entry straight right,,,2018-01-23T01:48:29Z,2018-01-29T11:05:02Z,-2147483648,aranya,plot1,,Dodonaea angustifolia,1,0,0,12.6,7,9,8,,,2,,,,,,,,
