prikey,Key,User,Upload Time (GMT),Survey Name,Version,Complete,Survey Notes,Location Trigger,Instance Name,_start (GMT),_end (GMT),_device,site,plot,quadrat,host,phenologyhost1,phenologyhost2,phenologyhost3,light,gbh1,gbh2,gbh3,gbh4,gbh5,infest,biomass,phenologypar1,phenologypar2,phenologypar3,clump,poll,disp,foli
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Azadirachta indica,1,1,0,17.6,25,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,0,17.6,28,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,1,20,18,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,1,27.6999999999999,25,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Azadirachta indica,1,0,0,30,25,18,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,28,21,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,0,47,10,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Acacia auriculiformis,0,0,0,47,12,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,0,50,26,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09T13:29:14Z,2018_01_08_SMAP_Parasite (2018_01_12 13:51:07) (2018_01_12 13:52:50),3,Yes,,,,2018-01-08T00:44:16Z,2018-01-09T12:36:38Z,-2147483648,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,0,45,28,,,,,2,,0,0,0,,,,
