prikey,Key,User,Upload Time,Survey Name,Version,Complete,Survey Notes,Location Trigger,Instance Name,_start,_end,_device,site,plot,quadrat
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1
4,,preethi1433@gmail.com,2018-01-09 14:18:42.412+00,9026,3,t,,,,2018-01-09 01:48:55.88+00,2018-01-09 13:26:07+00,864238033920043,pu,behindlibrary,BL2
5,,preethi1433@gmail.com,2018-01-10 14:26:29.008+00,9026,3,t,,,,2018-01-10 02:04:14.111+00,2018-01-10 03:12:20.335+00,864238033920043,pu,oppsports,OSC3
6,,preethi1433@gmail.com,2018-01-12 02:32:06.606+00,9026,3,t,"Cloudy day, bird activity relatively high",,,2018-01-10 10:00:54.468+00,2018-01-12 02:31:57.324+00,864238033920043,pu,oppsports,OSC4
7,,preethi1433@gmail.com,2018-01-12 13:17:31.771+00,9026,3,t,,,,2018-01-12 01:40:23+00,2018-01-12 12:24:53+00,deviceid not found,pu,oppsports,OSC2
8,,preethi1433@gmail.com,2018-01-12 13:40:45.197+00,9026,3,t,,,,2018-01-12 12:24:58+00,2018-01-12 12:48:08+00,deviceid not found,pu,oppsports,OSC1
9,,preethi1433@gmail.com,2018-01-29 11:30:19.213+00,9026,3,t,"[basic]
this is plot 1 in aranya
entry
straight
right",,,2018-01-23 01:48:29.545+00,2018-01-29 11:05:02.36+00,864238033920043,aranya,plot1,
10,,preethi1433@gmail.com,2018-01-29 11:30:19.64+00,9026,3,t,"[basic]
this is plot 2 at aranya
after plot 1
walk ahead
on right after turning you'll see 3 casuarina",,,2018-01-23 09:10:29.003+00,2018-01-29 11:05:12.328+00,864238033920043,aranya,plot1,
11,,preethi1433@gmail.com,2018-01-29 11:30:20.064+00,9026,3,t,"[basic]
plot 3 behind temple",,,2018-01-24 01:40:34.118+00,2018-01-29 11:18:26.079+00,864238033920043,aranya,plot1,
12,,preethi1433@gmail.com,2018-01-29 11:30:24.47+00,9026,3,t,"[basic]
plot 8 just behind house",,,2018-01-25 09:51:08.646+00,2018-01-29 11:18:48.602+00,864238033920043,aranya,plot1,
13,,preethi1433@gmail.com,2018-01-29 11:30:25.564+00,9026,3,t,"[basic]
plot 9
adjacent to plot 8
along the road",,,2018-01-26 01:49:53.708+00,2018-01-29 11:18:53.893+00,864238033920043,aranya,plot1,
14,,preethi1433@gmail.com,2018-01-29 11:30:24.043+00,9026,3,t,"[basic]
plot 7 after plot 5 adjacent",,,2018-01-25 03:23:25.637+00,2018-01-29 11:18:59.334+00,864238033920043,aranya,plot1,
15,,preethi1433@gmail.com,2018-01-29 11:30:20.703+00,9026,3,t,"[basic]
Aranya plot 4 with Banyan parasite other side of road",,,2018-01-24 03:00:04.482+00,2018-01-29 11:18:32.454+00,864238033920043,aranya,plot1,
16,,preethi1433@gmail.com,2018-01-29 11:30:21.227+00,9026,3,t,"[basic]
plot 5 

[host]
tree 41 has acacia chundra with lot of parasite fruits",,,2018-01-24 09:53:20.168+00,2018-01-29 11:18:38.049+00,864238033920043,aranya,plot1,
17,,preethi1433@gmail.com,2018-01-29 11:30:22.99+00,9026,3,t,"[basic]
plot 6 acacia chundra",,,2018-01-25 01:41:25.768+00,2018-01-29 11:18:43.861+00,864238033920043,aranya,plot1,
18,,preethi1433@gmail.com,2018-01-29 11:30:26.044+00,9026,3,t,"[basic]
plot 10 behind plot 8&9
Barringtonia",,,2018-01-26 04:30:07.208+00,2018-01-29 11:19:05.554+00,864238033920043,aranya,plot1,
19,,preethi1433@gmail.com,2018-01-29 11:30:26.506+00,9026,3,t,"[basic]
plot 11 adjacent to 10",,,2018-01-26 09:21:13.158+00,2018-01-29 11:19:11.893+00,864238033920043,aranya,plot1,
20,,preethi1433@gmail.com,2018-01-29 11:30:28.186+00,9026,3,t,"[basic]
Plot 13 in front of plot 12",,,2018-01-27 02:50:36.46+00,2018-01-29 11:18:01.243+00,864238033920043,aranya,plot1,
21,,preethi1433@gmail.com,2018-01-29 11:30:29.187+00,9026,3,t,"[basic]
Plot 15 next to rope bridge",,,2018-01-28 01:25:54.416+00,2018-01-29 11:18:07.881+00,864238033920043,aranya,plot1,
22,,preethi1433@gmail.com,2018-01-29 11:30:28.757+00,9026,3,t,"[basic]
Plot 14
next to 13",,,2018-01-27 09:12:06.95+00,2018-01-29 11:17:24.054+00,864238033920043,aranya,plot1,
23,,preethi1433@gmail.com,2018-01-29 11:30:26.988+00,9026,3,t,"[basic]
plot 12 beyond forest next to factory road",,,2018-01-27 01:42:07.699+00,2018-01-29 11:18:13.996+00,864238033920043,aranya,plot1,
