prikey,Key,User,Upload Time,Survey Name,Version,Complete,Survey Notes,Location Trigger,Instance Name,_start,_end,_device,site,plot,quadrat,host,phenologyhost1,phenologyhost2,phenologyhost3,light,gbh1,gbh2,gbh3,gbh4,gbh5,infest,biomass,phenologypar1,phenologypar2,phenologypar3,clump,poll,disp,foli
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,30,31,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,32,47,,,,,1,1,0,0,0,2,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,23,37,,,,,1,4,0,0,0,2,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,23,37,,,,,1,2,0,0,0,2,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,23,17,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,22,25,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,1,22,25,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Azadirachta indica,1,0,0,3,25,29,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,1,30,15,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Ziziphus oenoplia,1,0,0,4.90000000000000036,10,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,0,0,3.89999999999999991,10,,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Benkara malabarica,1,0,1,3,9,6,,,,2,,0,0,0,,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,1,1.5,40,,,,,1,3,1,0,0,2,,,
3,,preethi1433@gmail.com,2018-01-09 13:29:14.678+00,9026,3,t,,,,2018-01-08 00:44:16.17+00,2018-01-09 12:36:38+00,864238033920043,pu,behindlibrary,BL1,Acacia auriculiformis,1,1,1,1.5,40,,,,,1,2,1,0,0,1,,,
