plot,lon,lat
1,79.76596337,11.96514374
1,79.76598929,11.96529153
1,79.76706497,11.9642977
2,79.76765083,11.96326432
2,79.76598929,11.96529153
2,79.76765083,11.96326432
3,79.76596337,11.96514374
3,79.76706497,11.9642977
3,79.84931267,12.02441156
4,79.8499698,12.02457975
4,79.8510649,12.0270987
4,79.85062227,12.02446411
5,79.8501074,12.02465073
5,79.85059616,12.02452281
5,79.85235864,12.02100603
6,79.85215965,12.02148731
6,79.85202125,12.02178854
6,79.8500195,12.02460401
7,79.8500333,12.02458084
7,79.85002881,12.0243983
7,79.85058913,12.02453236
8,79.85033526,12.02437499
8,79.85046684,12.02424981
8,79.85059422,12.02427489
9,79.85077662,12.024082
9,79.8506005,12.0241592
9,79.85062638,12.02411295
10,79.85040337,12.02414767
10,79.85067151,12.02427339
10,79.84970598,12.02530494
11,79.85191943,12.0223541
11,79.85196583,12.02253008
11,79.85191612,12.02250959
12,79.85182204,12.02223716
12,79.85195907,12.02229488
12,79.85183759,12.02244883
13,79.85747355,12.01947545
13,79.85761744,12.01948743
13,79.85762468,12.01959328
14,79.85749953,12.01927452
14,79.85752904,12.01922058
14,79.85756694,12.0192838
15,79.857045,12.01943485
15,79.85702423,12.01942413
15,79.85784024,12.01975477
15,79.85749144,12.01987403
10,79.849709,12.024291
