species_name	total_individuals	infected_individuals	
"Acacia auriculiformis"	58	21	
"Acacia chundra"	25	11	
"Acacia holosericea"	89	27	
"Acacia mangium"	56	7	
"Adenanthera pavonina"	10	0	
"Aegle marmelos"	1	0	
"Albizia amara"	2	0	
"Albizia lebbeck"	16	6	
"Atalantia monophylla"	2	0	
"Azadirachta indica"	20	0	
"Barringtonia acutangala"	3	1	
"Bauhinia racemosa"	10	0	
"Benkara malabarica"	5	0	
"Borassus flabellifer"	2	0	
"Bridelia retusa"	52	16	
"Butea monosperma"	9	0	
"Canthium coromandelicum"	4	0	
"Carissa spinarum"	1	0	
"Carmona retusa"	4	0	
"Cassia fistula"	9	0	
"Cassia siamea"	1	1	
"Casuarina equisetifolia"	13	5	
"Chloroxylon swietenia"	2	0	
"Cleistanthus collinus"	4	0	
"Cochlospermum religiosa"	10	0	
"Diospyros montana"	4	0	
"Dodonaea angustifolia"	74	3	
"Dolichandrone falcata"	12	0	
"Erythroxylum monogynum"	3	0	
"Ficus benghalensis"	5	2	
"Ficus religiosa"	1	0	
"Flacourtia indica"	7	0	
"Gliricidia sepium"	5	0	
"Gmelina arborea"	2	0	
"Guazuma ulmifolia"	5	0	
"Hardwickia binata"	23	6	
"Helictes isora"	1	0	
"Ixora pavetta"	5	0	
"Khaya senegalensis"	3	2	
"Livistona chinensis"	1	0	
"Madhuca longifolia"	11	0	
"Mangifera indica"	2	0	
"Manilkara hexandra"	31	0	
"Memecylon umbellatum"	36	1	
"Mimusops elengi"	2	0	
"Morinda coreia"	49	2	
"Peltophorum pterocarpum"	1	1	
"Pongamia pinnata"	1	0	
"Pterocarpus marsupium"	2	0	
"Pterocarpus santalinus"	61	3	
"Pterospermum canescens"	3	0	
"Randia sp"	1	0	
"Syzgium cumini"	17	0	
"Tectona grandis"	10	1	
"Terminalia arjuna"	11	1	
"Terminalia bellerica"	5	0	
"Terminalia catappa"	7	0	
"Walsura trifoliata"	14	0	
"Ziziphus oenoplia"	10	1	
