species_name,family,bark_texture,physiognomy,total_individuals,infected_individuals,noninfected_individuals,abundance_ratio,prevalence
"Acacia auriculiformis","Fabaceae","rough","evergreen","58","21","37","0.07","0.36"
"Acacia chundra","Fabaceae","rough","deciduous","25","11","14","0.03","0.44"
"Acacia holosericea","Fabaceae","lenticellate","evergreen","89","27","62","0.11","0.30"
"Acacia mangium","Fabaceae","fissured","evergreen","56","7","49","0.07","0.12"
"Adenanthera pavonina","Fabaceae","rough","evergreen","10","0","10","0.01","0.00"
"Aegle marmelos","Rutaceae","rough","deciduous","1","0","1","0.00","0.00"
"Albizia amara","Fabaceae","rough","deciduous","2","0","2","0.00","0.00"
"Albizia lebbeck","Fabaceae","rough","deciduous","16","6","10","0.02","0.38"
"Atalantia monophylla","Rutaceae","smooth","evergreen","2","0","2","0.00","0.00"
"Azadirachta indica","Meliaceae","rough","deciduous","20","0","20","0.02","0.00"
"Barringtonia acutangala","Lecythidaceae","rough","deciduous","3","1","29","0.00","0.33"
"Bauhinia racemosa","Fabaceae","rough","deciduous","10","0","10","0.01","0.00"
"Benkara malabarica","Rubiaceae","lenticellate","deciduous","5","0","5","0.01","0.00"
"Borassus flabellifer","Arecaceae","rough","evergreen","2","0","2","0.00","0.00"
"Bridelia retusa","Phyllanthaceae","rough","deciduous","52","16","36","0.06","0.31"
"Butea monosperma","Fabaceae","rough","deciduous","9","0","9","0.01","0.00"
"Canthium coromandelicum","Rubiaceae","rough","deciduous","4","0","4","0.00","0.00"
"Carissa spinarum","Apocynaceae","rough","evergreen","1","0","1","0.00","0.00"
"Carmona retusa","Boraginaceae","rough","evergreen","4","0","4","0.00","0.00"
"Cassia fistula","Fabaceae","smooth","deciduous","9","0","9","0.01","0.00"
"Cassia siamea","Fabaceae","smooth","evergreen","1","1","0","0.00","1.00"
"Casuarina equisetifolia","Casuarinaceae","rough","evergreen","13","5","8","0.02","0.38"
"Chloroxylon swietenia","Rutaceae","fissured","deciduous","2","0","2","0.00","0.00"
"Cleistanthus collinus","Phyllanthaceae","rough","deciduous","4","0","4","0.00","0.00"
"Cochlospermum religiosa","Bixaceae","smooth","deciduous","10","0","10","0.01","0.00"
"Diospyros montana","Ebenaceae","flaky","deciduous","4","0","4","0.00","0.00"
"Dodonaea angustifolia","Sapindaceae","fissured","deciduous","74","3","71","0.09","0.04"
"Dolichandrone falcata","Bignoniaceae","warty","deciduous","12","0","12","0.01","0.00"
"Erythroxylum monogynum","Erythroxylaceae","fissured","evergreen","3","0","3","0.00","0.00"
"Ficus benghalensis","Moraceae","smooth","deciduous","5","2","3","0.01","0.40"
"Ficus religiosa","Moraceae","smooth","deciduous","1","0","1","0.00","0.00"
"Flacourtia indica","Salicaceae","flaky","deciduous","7","0","7","0.01","0.00"
"Gliricidia sepium","Fabaceae","wrinkled","deciduous","5","0","5","0.01","0.00"
"Gmelina arborea","Lamiaceae","rough","deciduous","2","0","2","0.00","0.00"
"Guazuma ulmifolia","Malvaceae","fissured","deciduous","5","0","5","0.01","0.00"
"Hardwickia binata","Fabaceae","fissured","deciduous","23","6","17","0.03","0.26"
"Helicteres isora","Malvaceae","rough","deciduous","1","0","1","0.00","0.00"
"Ixora pavetta","Rubiaceae","fissured","evergreen","5","0","5","0.01","0.00"
"Khaya senegalensis","Meliaceae","flaky","deciduous","3","2","1","0.00","0.67"
"Livistona chinensis","Arecaceae","rough","evergreen","1","0","1","0.00","0.00"
"Madhuca longifolia","Sapotaceae","fissured","deciduous","11","0","11","0.01","0.00"
"Mangifera indica","Anacardiaceae","fissured","evergreen","2","0","2","0.00","0.00"
"Manilkara hexandra","Sapotaceae","fissured","evergreen","31","0","31","0.04","0.00"
"Memecylon umbellatum","Melastomataceae","fissured","evergreen","36","1","35","0.04","0.03"
"Mimusops elengi","Sapotaceae","fissured","evergreen","2","0","2","0.00","0.00"
"Morinda coreia","Rubiaceae","fissured","deciduous","49","2","47","0.06","0.04"
"Peltophorum pterocarpum","Fabaceae","fissured","deciduous","1","1","0","0.00","1.00"
"Pongamia pinnata","Fabaceae","fissured","deciduous","1","0","1","0.00","0.00"
"Pterocarpus marsupium","Fabaceae","flaky","deciduous","2","0","2","0.00","0.00"
"Pterocarpus santalinus","Fabaceae","clefted","deciduous","61","3","58","0.07","0.05"
"Pterospermum canescens","Fabaceae","smooth","deciduous","3","0","3","0.00","0.00"
"Randia sp","Rubiaceae",,"deciduous","1","0","1","0.00","0.00"
"Syzgium cumini","Myrtaceae","flaky","deciduous","17","0","17","0.02","0.00"
"Tectona grandis","Lamiaceae","flaky","deciduous","10","1","9","0.01","0.10"
"Terminalia arjuna","Combretaceae","flaky","deciduous","11","1","10","0.01","0.09"
"Terminalia bellerica","Combretaceae","fissured","deciduous","5","0","5","0.01","0.00"
"Terminalia catappa","Combretaceae","fissured","deciduous","7","0","7","0.01","0.00"
"Walsura trifoliata","Meliaceae","fissured","evergreen","14","0","14","0.02","0.00"
"Ziziphus oenoplia","Rhamnaceae","lenticellate","deciduous","10","1","9","0.01","0.10"
