"Acacia auriculiformis","Fabaceae","rough","evergreen","58","21","37","6.96"
"Acacia chundra","Fabaceae","rough","deciduous","25","11","14","3.00"
"Acacia holosericea","Fabaceae","lenticellate","evergreen","89","27","62","10.68"
"Acacia mangium","Fabaceae","fissured","evergreen","56","7","49","6.72"
"Adenanthera pavonina","Fabaceae","rough","evergreen","10","0","10","1.20"
"Aegle marmelos","Rutaceae","rough","deciduous","1","0","1","0.12"
"Albizia amara","Fabaceae","rough","deciduous","2","0","2","0.24"
"Albizia lebbeck","Fabaceae","rough","deciduous","16","6","10","1.92"
"Atalantia monophylla","Rutaceae","smooth","evergreen","2","0","2","0.24"
"Azadirachta indica","Meliaceae","rough","deciduous","20","0","20","2.40"
"Barringtonia acutangala","Lecythidaceae","rough","deciduous","3","1","29","0.36"
"Bauhinia racemosa","Fabaceae","rough","deciduous","10","0","10","1.20"
"Benkara malabarica","Rubiaceae","lenticellate","deciduous","5","0","5","0.60"
"Borassus flabellifer","Arecaceae","rough","evergreen","2","0","2","0.24"
"Bridelia retusa","Phyllanthaceae","rough","deciduous","52","16","36","6.24"
"Butea monosperma","Fabaceae","rough","deciduous","9","0","9","1.08"
"Canthium coromandelicum","Rubiaceae","rough","deciduous","4","0","4","0.48"
"Carissa spinarum","Apocynaceae","rough","evergreen","1","0","1","0.12"
"Carmona retusa","Boraginaceae","rough","evergreen","4","0","4","0.48"
"Cassia fistula","Fabaceae","smooth","deciduous","9","0","9","1.08"
"Cassia siamea","Fabaceae","smooth","evergreen","1","1","0","0.12"
"Casuarina equisetifolia","Casuarinaceae","rough","evergreen","13","5","8","1.56"
"Chloroxylon swietenia","Rutaceae","fissured","deciduous","2","0","2","0.24"
"Cleistanthus collinus","Phyllanthaceae","rough","deciduous","4","0","4","0.48"
"Cochlospermum religiosa","Bixaceae","smooth","deciduous","10","0","10","1.20"
"Diospyros montana","Ebenaceae","flaky","deciduous","4","0","4","0.48"
"Dodonaea angustifolia","Sapindaceae","fissured","deciduous","74","3","71","8.88"
"Dolichandrone falcata","Bignoniaceae","warty","deciduous","12","0","12","1.44"
"Erythroxylum monogynum","Erythroxylaceae","fissured","evergreen","3","0","3","0.36"
"Ficus benghalensis","Moraceae","smooth","deciduous","5","2","3","0.60"
"Ficus religiosa","Moraceae","smooth","deciduous","1","0","1","0.12"
"Flacourtia indica","Salicaceae","flaky","deciduous","7","0","7","0.84"
"Gliricidia sepium","Fabaceae","wrinkled","deciduous","5","0","5","0.60"
"Gmelina arborea","Lamiaceae","rough","deciduous","2","0","2","0.24"
"Guazuma ulmifolia","Malvaceae","fissured","deciduous","5","0","5","0.60"
"Hardwickia binata","Fabaceae","fissured","deciduous","23","6","17","2.76"
"Helicteres isora","Malvaceae","rough","deciduous","1","0","1","0.12"
"Ixora pavetta","Rubiaceae","fissured","evergreen","5","0","5","0.60"
"Khaya senegalensis","Meliaceae","flaky","deciduous","3","2","1","0.36"
"Livistona chinensis","Arecaceae","rough","evergreen","1","0","1","0.12"
"Madhuca longifolia","Sapotaceae","fissured","deciduous","11","0","11","1.32"
"Mangifera indica","Anacardiaceae","fissured","evergreen","2","0","2","0.24"
"Manilkara hexandra","Sapotaceae","fissured","evergreen","31","0","31","3.72"
"Memecylon umbellatum","Melastomataceae","fissured","evergreen","36","1","35","4.32"
"Mimusops elengi","Sapotaceae","fissured","evergreen","2","0","2","0.24"
"Morinda coreia","Rubiaceae","fissured","deciduous","49","2","47","5.88"
"Peltophorum pterocarpum","Fabaceae","fissured","deciduous","1","1","0","0.12"
"Pongamia pinnata","Fabaceae","fissured","deciduous","1","0","1","0.12"
"Pterocarpus marsupium","Fabaceae","flaky","deciduous","2","0","2","0.24"
"Pterocarpus santalinus","Fabaceae","clefted","deciduous","61","3","58","7.32"
"Pterospermum canescens","Fabaceae","smooth","deciduous","3","0","3","0.36"
"Randia sp","Rubiaceae",,"deciduous","1","0","1","0.12"
"Syzgium cumini","Myrtaceae","flaky","deciduous","17","0","17","2.04"
"Tectona grandis","Lamiaceae","flaky","deciduous","10","1","9","1.20"
"Terminalia arjuna","Combretaceae","flaky","deciduous","11","1","10","1.32"
"Terminalia bellerica","Combretaceae","fissured","deciduous","5","0","5","0.60"
"Terminalia catappa","Combretaceae","fissured","deciduous","7","0","7","0.84"
"Walsura trifoliata","Meliaceae","fissured","evergreen","14","0","14","1.68"
"Ziziphus oenoplia","Rhamnaceae","lenticellate","deciduous","10","1","9","1.20"
